category,pattern,regex,toxicity_ratio,count
general,n if,\bn\ if\b,1.0,7685
general,n we,\bn\ we\b,1.0,6192
general,n there,\bn\ there\b,1.0,6081
general,n i,\bn\ i\b,1.0,5721
general,n it,\bn\ it\b,1.0,4150
general,n when,\bn\ when\b,1.0,3983
general,with mental,\bwith\ mental\b,1.0,3561
general,the chinese,\bthe\ chinese\b,1.0,3409
general,country n,\bcountry\ n\b,1.0,3348
general,middle eastern,\bmiddle\ eastern\b,1.0,3234
general,them n,\bthem\ n\b,1.0,3160
general,n she,\bn\ she\b,1.0,2881
general,n many,\bn\ many\b,1.0,2850
general,chinese n,\bchinese\ n\b,1.0,2629
general,middle easterners,\bmiddle\ easterners\b,1.0,2425
general,of asian,\bof\ asian\b,1.0,2399
general,african american,\bafrican\ american\b,1.0,2348
general,a mental,\ba\ mental\b,1.0,2174
general,n my,\bn\ my\b,1.0,2039
general,mexican friends,\bmexican\ friends\b,1.0,1963
general,years n,\byears\ n\b,1.0,1894
general,from the middle,\bfrom\ the\ middle\b,1.0,1884
general,women n,\bwomen\ n\b,1.0,1856
general,n most,\bn\ most\b,1.0,1814
general,society n,\bsociety\ n\b,1.0,1784
general,n its,\bn\ its\b,1.0,1774
general,have n,\bhave\ n\b,1.0,1628
general,women and,\bwomen\ and\b,1.0,1600
general,mental health,\bmental\ health\b,1.0,1598
general,americans n,\bamericans\ n\b,1.0,1593
general,our country n,\bour\ country\ n\b,1.0,1554
general,some native,\bsome\ native\b,1.0,1545
general,n women,\bn\ women\b,1.0,1543
general,with jews,\bwith\ jews\b,1.0,1542
general,my fashion,\bmy\ fashion\b,1.0,1536
general,jews they,\bjews\ they\b,1.0,1534
general,from china,\bfrom\ china\b,1.0,1524
general,just want to,\bjust\ want\ to\b,1.0,1505
general,language n,\blanguage\ n\b,1.0,1491
general,be treated,\bbe\ treated\b,1.0,1490
general,workers n,\bworkers\ n\b,1.0,1482
general,to them,\bto\ them\b,1.0,1468
general,n most of,\bn\ most\ of\b,1.0,1461
general,from mexico,\bfrom\ mexico\b,1.0,1447
general,n african,\bn\ african\b,1.0,1441
general,dont want,\bdont\ want\b,1.0,1439
general,that trans,\bthat\ trans\b,1.0,1426
general,that woman,\bthat\ woman\b,1.0,1412
general,a wheelchair,\ba\ wheelchair\b,1.0,1406
general,better n,\bbetter\ n\b,1.0,1401
general,community n,\bcommunity\ n\b,1.0,1388
general,to society n,\bto\ society\ n\b,1.0,1374
general,woman n,\bwoman\ n\b,1.0,1366
general,a rich,\ba\ rich\b,1.0,1364
general,world n,\bworld\ n\b,1.0,1363
general,n they,\bn\ they\b,1.0,1358
general,a jew,\ba\ jew\b,1.0,1350
general,n a lot,\bn\ a\ lot\b,1.0,1342
general,americans and,\bamericans\ and\b,1.0,1329
general,n middle,\bn\ middle\b,1.0,1317
general,n when i,\bn\ when\ i\b,1.0,1309
general,n indigenous,\bn\ indigenous\b,1.0,1303
general,n these,\bn\ these\b,1.0,1287
general,women have,\bwomen\ have\b,1.0,1270
general,n some,\bn\ some\b,1.0,1270
general,n some native,\bn\ some\ native\b,1.0,1270
general,america n,\bamerica\ n\b,1.0,1268
general,n for,\bn\ for\b,1.0,1261
general,over our,\bover\ our\b,1.0,1261
general,over our country,\bover\ our\ country\b,1.0,1261
general,mental illnesses,\bmental\ illnesses\b,1.0,1251
general,she will,\bshe\ will\b,1.0,1244
general,n i have,\bn\ i\ have\b,1.0,1244
general,the mexicans,\bthe\ mexicans\b,1.0,1223
general,than their,\bthan\ their\b,1.0,1221
general,a society,\ba\ society\b,1.0,1215
general,illness n,\billness\ n\b,1.0,1205
general,mental illness n,\bmental\ illness\ n\b,1.0,1205
general,college students,\bcollege\ students\b,1.0,1198
general,asian descent,\basian\ descent\b,1.0,1196
general,of asian descent,\bof\ asian\ descent\b,1.0,1196
general,of asians,\bof\ asians\b,1.0,1194
general,n in,\bn\ in\b,1.0,1167
general,n trans,\bn\ trans\b,1.0,1158
general,we do not,\bwe\ do\ not\b,1.0,1152
general,n we need,\bn\ we\ need\b,1.0,1150
general,dont want to,\bdont\ want\ to\b,1.0,1137
general,they have been,\bthey\ have\ been\b,1.0,1131
general,n immigrants,\bn\ immigrants\b,1.0,1120
general,many different,\bmany\ different\b,1.0,1110
general,but now,\bbut\ now\b,1.0,1092
general,of african,\bof\ african\b,1.0,1090
general,our jobs,\bour\ jobs\b,1.0,1079
general,jobs n,\bjobs\ n\b,1.0,1079
general,our jobs n,\bour\ jobs\ n\b,1.0,1079
general,many women,\bmany\ women\b,1.0,1079
general,friends who,\bfriends\ who\b,1.0,1078
general,the idea,\bthe\ idea\b,1.0,1076
general,in their own,\bin\ their\ own\b,1.0,1074
general,women in,\bwomen\ in\b,1.0,1072
harassment,n people,\bn\ people\b,1.0,4336
harassment,n if you,\bn\ if\ you\b,1.0,4140
harassment,people n,\bpeople\ n\b,1.0,3493
harassment,n you,\bn\ you\b,1.0,3465
harassment,n it is,\bn\ it\ is\b,1.0,3345
harassment,people from,\bpeople\ from\b,1.0,3209
harassment,trans people,\btrans\ people\b,1.0,2961
