category,pattern,regex,toxicity_ratio,count
general,n if,\bn\ if\b,1.0,7685
general,n we,\bn\ we\b,1.0,6192
general,mexicans,\bmexicans\b,1.0,6170
general,n there,\bn\ there\b,1.0,6081
general,n i,\bn\ i\b,1.0,5721
general,n it,\bn\ it\b,1.0,4150
general,n when,\bn\ when\b,1.0,3983
general,bi,\bbi\b,1.0,3771
general,middle east,\bmiddle\ east\b,1.0,3646
general,the middle east,\bthe\ middle\ east\b,1.0,3646
general,with mental,\bwith\ mental\b,1.0,3561
general,the chinese,\bthe\ chinese\b,1.0,3409
general,country n,\bcountry\ n\b,1.0,3348
general,asians,\basians\b,1.0,3327
general,african americans,\bafrican\ americans\b,1.0,3296
general,middle eastern,\bmiddle\ eastern\b,1.0,3234
general,them n,\bthem\ n\b,1.0,3160
general,bitches,\bbitches\b,1.0,3118
general,illness,\billness\b,1.0,3016
general,mental illness,\bmental\ illness\b,1.0,3016
general,n she,\bn\ she\b,1.0,2881
general,n many,\bn\ many\b,1.0,2850
general,chinese n,\bchinese\ n\b,1.0,2629
general,easterners,\beasterners\b,1.0,2425
general,middle easterners,\bmiddle\ easterners\b,1.0,2425
general,of asian,\bof\ asian\b,1.0,2399
general,african american,\bafrican\ american\b,1.0,2348
general,arabs,\barabs\b,1.0,2313
general,a mental,\ba\ mental\b,1.0,2174
general,our country,\bour\ country\b,1.0,2110
general,n my,\bn\ my\b,1.0,2039
general,portrayed,\bportrayed\b,1.0,2026
general,wheelchair,\bwheelchair\b,1.0,2003
general,trans women,\btrans\ women\b,1.0,1991
general,mexican friends,\bmexican\ friends\b,1.0,1963
general,years n,\byears\ n\b,1.0,1894
general,from the middle,\bfrom\ the\ middle\b,1.0,1884
general,women n,\bwomen\ n\b,1.0,1856
general,n most,\bn\ most\b,1.0,1814
general,hundreds,\bhundreds\b,1.0,1792
general,hundreds of,\bhundreds\ of\b,1.0,1791
general,society n,\bsociety\ n\b,1.0,1784
general,n its,\bn\ its\b,1.0,1774
general,asian americans,\basian\ americans\b,1.0,1771
general,diverse,\bdiverse\b,1.0,1735
general,attracted to,\battracted\ to\b,1.0,1672
general,couples,\bcouples\b,1.0,1653
general,native american,\bnative\ american\b,1.0,1641
general,have n,\bhave\ n\b,1.0,1628
general,women and,\bwomen\ and\b,1.0,1600
general,mental health,\bmental\ health\b,1.0,1598
general,americans n,\bamericans\ n\b,1.0,1593
general,our country n,\bour\ country\ n\b,1.0,1554
general,greedy,\bgreedy\b,1.0,1550
general,indigenous,\bindigenous\b,1.0,1548
general,dealt,\bdealt\b,1.0,1546
general,some native,\bsome\ native\b,1.0,1545
general,n women,\bn\ women\b,1.0,1543
general,with jews,\bwith\ jews\b,1.0,1542
general,my fashion,\bmy\ fashion\b,1.0,1536
general,violent,\bviolent\b,1.0,1535
general,jews they,\bjews\ they\b,1.0,1534
general,greed,\bgreed\b,1.0,1526
general,from china,\bfrom\ china\b,1.0,1524
general,increase,\bincrease\b,1.0,1523
general,just want to,\bjust\ want\ to\b,1.0,1505
general,treated,\btreated\b,1.0,1501
general,language n,\blanguage\ n\b,1.0,1491
general,be treated,\bbe\ treated\b,1.0,1490
general,workers n,\bworkers\ n\b,1.0,1482
general,transition,\btransition\b,1.0,1469
general,to them,\bto\ them\b,1.0,1468
general,n most of,\bn\ most\ of\b,1.0,1461
general,from mexico,\bfrom\ mexico\b,1.0,1447
general,n african,\bn\ african\b,1.0,1441
general,dont want,\bdont\ want\b,1.0,1439
general,that trans,\bthat\ trans\b,1.0,1426
general,that woman,\bthat\ woman\b,1.0,1412
general,a wheelchair,\ba\ wheelchair\b,1.0,1406
general,better n,\bbetter\ n\b,1.0,1401
general,community n,\bcommunity\ n\b,1.0,1388
general,to society n,\bto\ society\ n\b,1.0,1374
general,woman n,\bwoman\ n\b,1.0,1366
general,a rich,\ba\ rich\b,1.0,1364
general,world n,\bworld\ n\b,1.0,1363
general,jew,\bjew\b,1.0,1361
general,crimes,\bcrimes\b,1.0,1359
general,valid,\bvalid\b,1.0,1359
general,n they,\bn\ they\b,1.0,1358
general,immigration,\bimmigration\b,1.0,1350
general,a jew,\ba\ jew\b,1.0,1350
general,inherently,\binherently\b,1.0,1348
general,n a lot,\bn\ a\ lot\b,1.0,1342
general,americans and,\bamericans\ and\b,1.0,1329
general,n middle,\bn\ middle\b,1.0,1317
general,brutes,\bbrutes\b,1.0,1313
general,n when i,\bn\ when\ i\b,1.0,1309
general,n indigenous,\bn\ indigenous\b,1.0,1303
general,n these,\bn\ these\b,1.0,1287
general,women have,\bwomen\ have\b,1.0,1270
general,n some,\bn\ some\b,1.0,1270
general,n some native,\bn\ some\ native\b,1.0,1270
general,america n,\bamerica\ n\b,1.0,1268
general,n for,\bn\ for\b,1.0,1261
general,over our,\bover\ our\b,1.0,1261
general,over our country,\bover\ our\ country\b,1.0,1261
general,illnesses,\billnesses\b,1.0,1251
general,mental illnesses,\bmental\ illnesses\b,1.0,1251
general,gender,\bgender\b,1.0,1245
general,she will,\bshe\ will\b,1.0,1244
general,n i have,\bn\ i\ have\b,1.0,1244
general,nigga,\bnigga\b,1.0,1229
